,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FBgn0260011,89.27138197,2.36270747,0.392574978,6.018487169,1.76E-09,1.43E-05
FBgn0001226,1323.798633,1.64405309,0.281738786,5.835380757,5.37E-09,2.17E-05
FBgn0001224,598.8804401,1.371127649,0.260376909,5.265934128,1.39E-07,0.000376452
FBgn0001225,420.2688031,1.231020544,0.252418434,4.876904285,1.08E-06,0.002135969
FBgn0034354,372.5880592,0.977521668,0.202097929,4.836871271,1.32E-06,0.002135969
FBgn0032405,79.60800218,2.307869804,0.485522936,4.753369268,2.00E-06,0.002437606
FBgn0033065,29.94546831,2.887336184,0.612277099,4.715734407,2.41E-06,0.002437606
FBgn0033649,682.0989547,-0.786768088,0.166789523,-4.717131349,2.39E-06,0.002437606
FBgn0003996,78.64863218,1.064685477,0.231769144,4.593732618,4.35E-06,0.003389321
FBgn0031327,756.3325477,1.134367668,0.247408791,4.584993381,4.54E-06,0.003389321
FBgn0033635,2489.947815,1.185049604,0.258726887,4.580310999,4.64E-06,0.003389321
FBgn0052625,155.786256,1.499981992,0.328667973,4.563821595,5.02E-06,0.003389321
FBgn0033724,152.8221352,1.330747766,0.293874545,4.528285252,5.95E-06,0.003703709
FBgn0034438,74.58895502,1.696232915,0.387388679,4.378633158,1.19E-05,0.006907086
FBgn0033775,46.8768341,1.781946992,0.409122655,4.355532429,1.33E-05,0.007165514
FBgn0003447,36.30180829,1.87424528,0.443975751,4.221503711,2.43E-05,0.008543319
FBgn0015568,210.351104,0.984866608,0.232806366,4.230410977,2.33E-05,0.008543319
FBgn0031538,217.0249907,0.805738706,0.187878275,4.288620949,1.80E-05,0.008543319
FBgn0034718,496.0051719,1.303112821,0.304661502,4.277248072,1.89E-05,0.008543319
FBgn0035968,295.0594424,0.981940894,0.230753332,4.255370374,2.09E-05,0.008543319
FBgn0038528,152.5914841,1.229512052,0.290305301,4.235238028,2.28E-05,0.008543319
FBgn0039479,175.6675659,1.358221956,0.320269913,4.240866537,2.23E-05,0.008543319
FBgn0050463,42.09058833,2.277484072,0.538250791,4.231269347,2.32E-05,0.008543319
